reading_id,station,recorded_at,temp_c,humidity,status,battery_pct,placement
1,bravo-2,2025-03-01T00:31:00,,95%,offline,98.3,Outdoor
2,DELTA-4,2025-03-01 01:39:00,8.3,25%,Offline,93.3,
3,ALPHA-1,2025-03-01T02:45:00,25.3 C,70.2,Degraded,59.7,Outdoor
4,BRAVO-2,01/03/2025 04:12,19.2,37.3,offline,53.0,indoor
5,bravo-2,01/03/2025 05:08,18.5,28.9,Offline,27.0,outdoor
6,alpha-1,2025-03-01 06:11:00,21.0,70.3,offline,6.5,Outdoor
7,bravo-2,01/03/2025 06:48,15.2 C,-999,DEGRADED,76.4,Outdoor
8,BRAVO-2,01/03/2025 07:16,N/A,82.6,offline,71.3,Outdoor
9,alpha-1,2025-03-01T07:41:00,21.2,64.5,Degraded,96.7,Outdoor
10,DELTA-4,2025-03-01T08:27:00,7.8,26%,offline,97.1,indoor
11,DELTA-4,2025-03-01 09:23:00,18.7,27.6,ok,72.1,outdoor
12,ALPHA-1,01/03/2025 10:03,N/A,91.9,OK,49.9,indoor
13,CHARLIE-3,2025-03-01T11:09:00,24.9,26%,OK,60.2,
14,bravo-2,2025-03-01T12:32:00,28.5,61.2,DEGRADED,18.6,
15,DELTA-4,01/03/2025 13:39,23.4,57%,offline,16.9,
16,alpha-1,01/03/2025 14:03,27.2,40%,ok,56.7,
17,BRAVO-2,2025-03-01T14:59:00,3.6,59.3,DEGRADED,52.2,Outdoor
18,alpha-1,01/03/2025 16:29,18.4,86%,Offline,48.1,outdoor
19,DELTA-4,2025-03-01 17:44:00,17.4,85%,OK,89.1,indoor
20,alpha-1,01/03/2025 18:39,12.1,87%,Offline,57.0,indoor
21,DELTA-4,01/03/2025 19:50,15.8,82.2,ok,28.2,
22,bravo-2,2025-03-01T21:03:00,21.5,70%,Offline,54.9,indoor
23,alpha-1,2025-03-01 21:44:00,13.5,63%,OK,51.5,outdoor
24,alpha-1,2025-03-01 23:03:00,17.3,60.2,DEGRADED,68.6,
25,alpha-1,01/03/2025 23:46,N/A,95%,OK,79.8,Outdoor
26,ALPHA-1,2025-03-02T00:34:00,34.5,64.1,DEGRADED,72.6,Outdoor
27,bravo-2,2025-03-02 01:28:00,8.6,60.6,DEGRADED,75.4,Outdoor
28,ALPHA-1,2025-03-02 02:22:00,10.0,54.9,offline,15.6,Outdoor
29,bravo-2,2025-03-02T02:45:00,23.2,42%,ok,87.6,
30,BRAVO-2,02/03/2025 03:50,,32%,Degraded,22.0,Outdoor
31,CHARLIE-3,2025-03-02T05:03:00,29.2,55%,ok,64.5,outdoor
32,CHARLIE-3,2025-03-02T06:12:00,20.8,46.0,offline,27.4,Outdoor
33,CHARLIE-3,2025-03-02 06:58:00,17.1,30.0,OK,48.2,Outdoor
34,CHARLIE-3,02/03/2025 08:12,22.0,31.9,ok,13.2,Outdoor
35,BRAVO-2,2025-03-02T08:54:00,23.1,58.4,DEGRADED,60.5,indoor
36,ALPHA-1,2025-03-02T10:03:00,5.6,43.1,offline,39.6,Outdoor
37,bravo-2,2025-03-02T11:27:00,21.6,57%,Degraded,62.2,
38,DELTA-4,2025-03-02T12:30:00,16.1,22.5,Offline,37.6,indoor
39,BRAVO-2,02/03/2025 12:54,18.5,88%,DEGRADED,99.0,indoor
40,alpha-1,2025-03-02 13:35:00,7.0,73.6,Degraded,46.4,indoor
41,alpha-1,02/03/2025 14:33,12.9 C,45%,DEGRADED,23.9,
42,DELTA-4,2025-03-02 15:09:00,18.9,23%,DEGRADED,87.1,
43,DELTA-4,2025-03-02T16:22:00,22.9,29.0,Degraded,51.8,outdoor
44,alpha-1,2025-03-02T17:01:00,12.5,51.7,offline,27.5,indoor
45,CHARLIE-3,2025-03-02T17:58:00,26.7,92%,offline,70.1,outdoor
46,ALPHA-1,02/03/2025 18:26,26.5,62%,ok,64.0,
47,BRAVO-2,2025-03-02T19:09:00,17.0,80%,Offline,49.2,indoor
48,BRAVO-2,2025-03-02T20:11:00,,57%,Degraded,84.8,
49,BRAVO-2,2025-03-02 20:44:00,14.7,87%,DEGRADED,64.1,Outdoor
50,alpha-1,02/03/2025 22:05,12.9,-999,offline,77.4,
51,CHARLIE-3,2025-03-02 23:27:00,8.6 C,40%,Offline,62.8,Outdoor
52,BRAVO-2,03/03/2025 00:19,19.7 C,82%,ok,17.8,Outdoor
53,BRAVO-2,2025-03-03T00:48:00,21.8,55%,Degraded,68.5,Outdoor
54,BRAVO-2,2025-03-03 01:48:00,13.7,25.2,Degraded,30.7,Outdoor
55,alpha-1,2025-03-03 02:10:00,21.0,65.4,Degraded,92.1,
56,DELTA-4,03/03/2025 02:38,23.3,27.4,ok,22.6,indoor
57,alpha-1,2025-03-03 03:25:00,21.4,90.7,OK,95.0,
58,CHARLIE-3,2025-03-03T04:42:00,29.2 C,50.8,Degraded,84.3,outdoor
59,ALPHA-1,2025-03-03 05:36:00,19.3,-999,DEGRADED,96.2,outdoor
60,BRAVO-2,2025-03-03 07:00:00,15.5,83%,DEGRADED,24.2,Outdoor
61,bravo-2,2025-03-03T07:32:00,19.0,65%,ok,60.5,Outdoor
62,ALPHA-1,03/03/2025 08:19,21.7 C,41%,ok,50.2,
63,alpha-1,2025-03-03 08:56:00,,37.4,ok,21.7,
64,CHARLIE-3,2025-03-03 09:19:00,15.3,-999,DEGRADED,21.6,
65,BRAVO-2,03/03/2025 10:28,23.1,85.4,ok,5.4,indoor
66,BRAVO-2,2025-03-03T11:16:00,N/A,41.2,DEGRADED,15.2,Outdoor
67,ALPHA-1,2025-03-03 12:46:00,8.1,86.5,Offline,43.4,Outdoor
68,alpha-1,2025-03-03 14:00:00,21.7,93.6,Degraded,84.5,outdoor
69,alpha-1,03/03/2025 14:50,20.2,77%,ok,94.9,indoor
70,BRAVO-2,03/03/2025 15:45,,62.0,DEGRADED,55.5,indoor
71,bravo-2,03/03/2025 16:24,N/A,84.0,Degraded,95.1,outdoor
72,bravo-2,2025-03-03T17:25:00,7.8,88.2,ok,4.9,
73,DELTA-4,2025-03-03 18:50:00,N/A,76%,Degraded,36.3,
74,BRAVO-2,03/03/2025 20:00,29.5,40%,Offline,79.4,outdoor
75,bravo-2,2025-03-03T20:40:00,8.0,54.8,Degraded,65.9,indoor
76,CHARLIE-3,03/03/2025 21:00,22.7,86%,Degraded,12.1,
77,ALPHA-1,2025-03-03T22:29:00,16.0,23%,Offline,81.2,Outdoor
78,BRAVO-2,03/03/2025 22:58,18.7,67.4,DEGRADED,12.2,outdoor
79,alpha-1,2025-03-03T23:53:00,23.6 C,52.8,Degraded,52.9,
80,alpha-1,2025-03-04T00:47:00,,79.5,ok,63.7,
81,alpha-1,2025-03-04 01:19:00,19.1,47.1,DEGRADED,91.8,outdoor
82,alpha-1,2025-03-04 02:48:00,N/A,63%,Offline,34.0,indoor
83,DELTA-4,2025-03-04 04:05:00,21.0,69.8,Degraded,97.1,
84,BRAVO-2,04/03/2025 05:03,18.6,23%,ok,80.7,indoor
85,alpha-1,2025-03-04 05:50:00,23.7,84%,Degraded,6.5,
86,ALPHA-1,04/03/2025 07:05,11.8,83.8,OK,30.1,outdoor
87,ALPHA-1,2025-03-04 07:36:00,14.5 C,37.1,DEGRADED,41.3,indoor
88,DELTA-4,2025-03-04 09:04:00,N/A,67%,Offline,15.4,outdoor
89,alpha-1,2025-03-04 09:24:00,,62%,Degraded,70.5,Outdoor
90,bravo-2,2025-03-04T10:03:00,21.6 C,89.2,Degraded,96.0,Outdoor
91,alpha-1,2025-03-04 11:03:00,21.4 C,52.3,ok,17.3,indoor
92,DELTA-4,04/03/2025 11:40,15.9,22.7,DEGRADED,20.3,indoor
